player_name,player_key,school,school_key,position_raw,position,year,ras_score,source_url
Albert Reese,albert reese,Southern Methodist,southern methodist,TE,TE,1987,2.35,https://ras.football/ras-information/?PlayerID=4
Brian Siverling,brian siverling,Penn State,penn state,TE,TE,1987,1.76,https://ras.football/ras-information/?PlayerID=29
Chris Kelley,chris kelley,Akron,akron,TE,TE,1987,4.12,https://ras.football/ras-information/?PlayerID=50
Derek Tennell,derek tennell,UCLA,ucla,TE,TE,1987,8.82,https://ras.football/ras-information/?PlayerID=94
Gerald Bayless,gerald bayless,Bowling Green,bowling green,TE,TE,1987,4.71,https://ras.football/ras-information/?PlayerID=125
Jeff Modesitt,jeff modesitt,Delaware,delaware,TE,TE,1987,3.53,https://ras.football/ras-information/?PlayerID=153
Jerry Reese,jerry reese,Illinois,illinois,TE,TE,1987,2.94,https://ras.football/ras-information/?PlayerID=160
Jim Riggs,jim riggs,Clemson,clemson,TE,TE,1987,7.06,https://ras.football/ras-information/?PlayerID=165
Keith Mckeller,keith mckeller,Jacksonville State,jacksonville state,TE,TE,1987,7.65,https://ras.football/ras-information/?PlayerID=191
Michael Clemons,michael clemons,William & Mary,william & mary,TE,TE,1987,5.88,https://ras.football/ras-information/?PlayerID=240
Robert Awalt,robert awalt,San Diego State,san diego state,TE,TE,1987,6.47,https://ras.football/ras-information/?PlayerID=284
Rod Jones,rod jones,Washington,washington,TE,TE,1987,1.18,https://ras.football/ras-information/?PlayerID=288
Ron Hall,ron hall,Hawaii,hawaii,TE,TE,1987,9.41,https://ras.football/ras-information/?PlayerID=297
Scott Eccles,scott eccles,Eastern New Mexico,eastern new mexico,TE,TE,1987,10.0,https://ras.football/ras-information/?PlayerID=307
Theo Young,theo young,Arkansas,arkansas,TE,TE,1987,5.29,https://ras.football/ras-information/?PlayerID=341
William Harris,william harris,Bishops,bishops,TE,TE,1987,8.24,https://ras.football/ras-information/?PlayerID=389
Alvin Blount,alvin blount,Eastern Kentucky,eastern kentucky,WR,WR,1987,7.37,https://ras.football/ras-information/?PlayerID=9
Bruce Hill,bruce hill,Arizona State,arizona state,WR,WR,1987,5.0,https://ras.football/ras-information/?PlayerID=32
Calvin Nicholas,calvin nicholas,Grambling State,grambling state,WR,WR,1987,6.32,https://ras.football/ras-information/?PlayerID=38
Charles Lockett,charles lockett,Long Beach State,long beach state,WR,WR,1987,5.26,https://ras.football/ras-information/?PlayerID=45
Craig Richardson,craig richardson,Eastern Washington,eastern washington,WR,WR,1987,7.89,https://ras.football/ras-information/?PlayerID=65
Curtis Duncan,curtis duncan,Northwestern,northwestern,WR,WR,1987,6.84,https://ras.football/ras-information/?PlayerID=68
Everett Gay,everett gay,Texas,texas,WR,WR,1987,7.11,https://ras.football/ras-information/?PlayerID=113
Frankie Neal,frankie neal,Fort Hays State,fort hays state,WR,WR,1987,8.95,https://ras.football/ras-information/?PlayerID=115
Fred Lane,fred lane,Georgia,georgia,WR,WR,1987,1.05,https://ras.football/ras-information/?PlayerID=116
Gary Lee,gary lee,Georgia Tech,georgia tech,WR,WR,1987,5.53,https://ras.football/ras-information/?PlayerID=120
Gene Taylor,gene taylor,Fresno State,fresno state,WR,WR,1987,7.63,https://ras.football/ras-information/?PlayerID=123
Greg Richardson,greg richardson,Alabama,alabama,WR,WR,1987,3.16,https://ras.football/ras-information/?PlayerID=131
James Brim,james brim,Wake Forest,wake forest,WR,WR,1987,8.42,https://ras.football/ras-information/?PlayerID=143
Jason Stargel,jason stargel,Cincinnati,cincinnati,WR,WR,1987,3.42,https://ras.football/ras-information/?PlayerID=149
Jeff Tiefenthaler,jeff tiefenthaler,South Dakota State,south dakota state,WR,WR,1987,0.53,https://ras.football/ras-information/?PlayerID=154
Joey Clinkscales,joey clinkscales,Tennessee,tennessee,WR,WR,1987,3.95,https://ras.football/ras-information/?PlayerID=173
Jon Horton,jon horton,Arizona,arizona,WR,WR,1987,2.11,https://ras.football/ras-information/?PlayerID=187
Karl Dorrell,karl dorrell,UCLA,ucla,WR,WR,1987,1.58,https://ras.football/ras-information/?PlayerID=189
Keith Paskett,keith paskett,Western Kentucky,western kentucky,WR,WR,1987,3.68,https://ras.football/ras-information/?PlayerID=192
Kelvin Martin,kelvin martin,Boston College,boston college,WR,WR,1987,2.63,https://ras.football/ras-information/?PlayerID=195
Kitrick Taylor,kitrick taylor,Washington State,washington state,WR,WR,1987,6.05,https://ras.football/ras-information/?PlayerID=204
Lonzell Hill,lonzell hill,Washington,washington,WR,WR,1987,4.21,https://ras.football/ras-information/?PlayerID=216
Lyneal Alston,lyneal alston,Southern Mississippi,southern mississippi,WR,WR,1987,2.37,https://ras.football/ras-information/?PlayerID=221
Mark Carrier,mark carrier,Nicholls State,nicholls state,WR,WR,1987,5.79,https://ras.football/ras-information/?PlayerID=228
Mark Ingram,mark ingram,Michigan State,michigan state,WR,WR,1987,9.47,https://ras.football/ras-information/?PlayerID=232
Michael James,michael james,Washington State,washington state,WR,WR,1987,9.21,https://ras.football/ras-information/?PlayerID=241
Odessa Turner,odessa turner,Northwestern State,northwestern state,WR,WR,1987,10.0,https://ras.football/ras-information/?PlayerID=256
Patrick Scott,patrick scott,Grambling State,grambling state,WR,WR,1987,1.32,https://ras.football/ras-information/?PlayerID=258
Ricky Nattiel,ricky nattiel,Florida,florida,WR,WR,1987,8.68,https://ras.football/ras-information/?PlayerID=281
Robert Clark,robert clark,North Carolina Central,north carolina central,WR,WR,1987,0.79,https://ras.football/ras-information/?PlayerID=286
Ron Morris,ron morris,Southern Methodist,southern methodist,WR,WR,1987,4.74,https://ras.football/ras-information/?PlayerID=299
Roy Banks,roy banks,Eastern Illinois,eastern illinois,WR,WR,1987,6.58,https://ras.football/ras-information/?PlayerID=302
Scott Schwedes,scott schwedes,Syracuse,syracuse,WR,WR,1987,9.74,https://ras.football/ras-information/?PlayerID=310
Stacey Mobley,stacey mobley,Jackson State,jackson state,WR,WR,1987,2.89,https://ras.football/ras-information/?PlayerID=321
Stephen Baker,stephen baker,Fresno State,fresno state,WR,WR,1987,1.84,https://ras.football/ras-information/?PlayerID=324
Thomas Henley,thomas henley,Stanford,stanford,WR,WR,1987,4.47,https://ras.football/ras-information/?PlayerID=343
Willie Marshall,willie marshall,Temple,temple,WR,WR,1987,8.16,https://ras.football/ras-information/?PlayerID=390
Brandy Wells,brandy wells,Notre Dame,notre dame,CB,CB,1988,5.23,https://ras.football/ras-information/?PlayerID=426
Clarence Nunn,clarence nunn,San Diego State,san diego state,CB,CB,1988,2.73,https://ras.football/ras-information/?PlayerID=458
Cris Dishman,cris dishman,Purdue,purdue,CB,CB,1988,6.14,https://ras.football/ras-information/?PlayerID=464
David Vickers,david vickers,Oklahoma,oklahoma,CB,CB,1988,2.95,https://ras.football/ras-information/?PlayerID=504
Dwight Sistrunk,dwight sistrunk,Iowa,iowa,CB,CB,1988,0.68,https://ras.football/ras-information/?PlayerID=517
Eric Allen,eric allen,Arizona State,arizona state,CB,CB,1988,5.68,https://ras.football/ras-information/?PlayerID=522
Eric Everett,eric everett,Texas Tech,texas tech,CB,CB,1988,9.09,https://ras.football/ras-information/?PlayerID=524
Erik Campbell,erik campbell,Michigan,michigan,CB,CB,1988,1.82,https://ras.football/ras-information/?PlayerID=528
Eugene Hardy,eugene hardy,Arizona,arizona,CB,CB,1988,2.05,https://ras.football/ras-information/?PlayerID=532
Gary Richard,gary richard,Pittsburgh,pittsburgh,CB,CB,1988,0.91,https://ras.football/ras-information/?PlayerID=544
Jerry Dunlap,jerry dunlap,Youngstown State,youngstown state,CB,CB,1988,1.14,https://ras.football/ras-information/?PlayerID=594
John Baylor,john baylor,Southern Mississippi,southern mississippi,CB,CB,1988,6.36,https://ras.football/ras-information/?PlayerID=603
John Booty,john booty,Texas Christian,texas christian,CB,CB,1988,3.86,https://ras.football/ras-information/?PlayerID=604
Kevin Guidry,kevin guidry,Louisiana State,louisiana state,CB,CB,1988,8.41,https://ras.football/ras-information/?PlayerID=638
Lavance Northington,lavance northington,Oregon State,oregon state,CB,CB,1988,4.09,https://ras.football/ras-information/?PlayerID=648
Lemuel Stinson,lemuel stinson,Texas Tech,texas tech,CB,CB,1988,7.5,https://ras.football/ras-information/?PlayerID=649
Martin Mayhew,martin mayhew,Florida State,florida state,CB,CB,1988,2.5,https://ras.football/ras-information/?PlayerID=660
Michael Brim,michael brim,Virginia Union,virginia union,CB,CB,1988,5.45,https://ras.football/ras-information/?PlayerID=668
Percy Hines,percy hines,Houston,houston,CB,CB,1988,4.55,https://ras.football/ras-information/?PlayerID=706
Riccardo Ingram,riccardo ingram,Georgia Tech,georgia tech,CB,CB,1988,1.59,https://ras.football/ras-information/?PlayerID=723
Rodney Thomas,rodney thomas,BYU,byu,CB,CB,1988,5.91,https://ras.football/ras-information/?PlayerID=740
Sheldon White,sheldon white,Miami,miami,CB,CB,1988,9.55,https://ras.football/ras-information/?PlayerID=760
