pff_rank,player_name,position,school,pff_grade,pff_waa,analysis,player_id,match_type,matched_team_name
227,Kaden Wetjen,WR,Iowa,64.9,,,156448,exact,iowa
228,Terion Stewart,RB,Virginia Tech,73.9,,,130386,name_pos,va tech
229,Jalon Daniels,QB,Kansas,77.1,,,122555,exact,kansas
230,DJ Harvey,CB,USC,55.3,,,72089,exact,usc
231,Vincent Anthony Jr.,EDGE,Duke,58.2,,,156256,exact,duke
232,Lake McRee,TE,USC,69.0,,,146418,exact,usc
233,Taylen Green,QB,Arkansas,82.5,,,145996,exact,arkansas
234,Cole Payton,QB,North Dakota State,95.9,,,148154,name_pos,n dak st
235,DeVonta Smith,CB,Notre Dame,72.4,,,146607,exact,notre dame
236,Eric Gentry,LB,USC,72.0,,,146280,exact,usc
237,Rahsul Faison,RB,South Carolina,68.8,,,176482,exact,south carolina
238,Lorenzo Styles Jr.,S,Ohio State,66.0,,,147474,exact,ohio state
239,Josh Cameron,WR,Baylor,72.4,,,144513,exact,baylor
240,Ceyair Wright,CB,Nebraska,66.6,,,86877,exact,nebraska
241,James Thompson Jr.,DT,Illinois,76.5,,,129930,exact,illinois
242,Fa'alili Fa'amoe,OT,Wake Forest,67.7,,,131930,name_pos,wake
243,Luke Altmyer,QB,Illinois,78.0,,,146802,exact,illinois
244,Vinny Anthony II,WR,Wisconsin,67.7,,,158687,exact,wisconsin
245,Deven Eastern,DT,Minnesota,67.3,,,144989,exact,minnesota
246,Sawyer Robertson,QB,Baylor,70.3,,,146839,exact,baylor
247,Lewis Bond,WR,Boston College,74.5,,,143817,exact,boston college
248,Haynes King,QB,Georgia Tech,85.9,,,124329,exact,georgia tech
249,Joey Aguilar,QB,Tennessee,90.5,,,174978,exact,tennessee
250,Ethan Onianwa,IOL,Ohio State,58.2,,,155966,exact,ohio state
251,Diego Pavia,QB,Vanderbilt,92.2,,,156927,exact,vanderbilt
252,Jeadyn Lukus,CB,Clemson,56.1,,,156247,exact,clemson
253,Xavian Sorey Jr.,LB,Arkansas,50.3,,,146724,exact,arkansas
