player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Sean Dollars,71332,HB,NEVADA,9,0,239,49.2,0,2,24,29.3,28.4,95.8,1,2,0,25,88,43.9,0,2,12,28.6,27.3,91.7,2,0,12,44
Peyton Lewis,184885,HB,TENNESSEE,8,0,307,44.5,0,2,25,44.6,42.4,92.0,0,3,1,25,59,46.9,0,1,8,66.7,66.7,93.7,1,0,8,12
Chris Terek,171101,G,NOTRE DAME,5,0,258,74.0,0,0,23,100.0,100.0,100.0,0,0,0,25,25,78.6,0,0,4,100.0,100.0,100.0,0,0,5,5
Nathan Brooks,156250,G,CLEMSON,5,0,140,87.5,0,0,24,100.0,100.0,100.0,0,0,0,25,25,79.6,0,0,2,100.0,100.0,100.0,0,0,3,3
Maquel Haywood,144314,HB,APP STATE,8,0,108,52.1,0,2,21,31.3,32.1,95.2,0,2,0,25,78,40.4,0,1,4,16.7,20.7,87.5,1,0,6,29
Stone Eby,144358,TE,SMU,13,0,287,83.9,1,0,24,32.9,31.3,97.9,0,1,0,25,80,68.6,1,0,9,40.9,39.1,94.4,1,0,9,23
Kyson Brown,176525,HB,ARIZONA ST,14,0,110,42.8,0,1,24,21.1,20.8,97.9,0,1,0,25,120,26.1,0,1,4,16.7,14.8,87.5,1,0,4,27
Carson Kent,160382,TE,KENNESAW,11,0,200,68.2,0,0,24,9.4,9.5,100.0,0,0,0,25,263,58.5,0,0,4,6.3,5.9,100.0,0,0,4,68
Gavin Harris,177032,TE,C MICHIGAN,10,0,134,36.2,0,2,21,10.7,11.9,90.5,0,3,1,25,210,72.0,0,0,1,1.5,2.9,100.0,0,0,2,70
Tyler Maro,144542,T,IOWA STATE,4,0,193,75.3,0,0,23,95.8,96.2,100.0,0,0,0,25,26,61.6,0,0,4,100.0,100.0,100.0,0,0,4,4
Courtland Ford,131826,T,KENTUCKY,2,0,202,77.9,0,0,24,100.0,100.0,100.0,0,0,0,25,25,76.6,0,0,11,100.0,100.0,100.0,0,0,11,11
Jamal Johnson,145646,TE,BOWL GREEN,13,0,122,57.7,1,4,22,9.6,10.3,88.6,1,5,0,25,242,65.2,0,1,7,14.0,15.1,92.9,1,0,8,53
Luke Hasz,125950,TE,ARKANSAS,12,0,111,68.8,0,1,23,9.3,9.4,97.8,1,1,0,24,255,64.1,0,1,6,6.1,5.9,91.7,1,0,6,101
Luke Painton,109364,T,UMASS,1,0,216,68.1,1,1,23,100.0,100.0,95.7,0,2,0,24,24,73.2,0,1,10,100.0,100.0,95.0,1,0,10,10
