player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Bruno Fina,131791,T,DUKE,12,0,154,56.8,100.0,95,28.0,95,51.5,2,100.0,339,339,53.8,100.0,227,67.0,227
Quinn Carroll,98517,T,MINNESOTA,13,0,225,64.3,100.0,101,29.8,101,69.3,0,100.0,339,339,69.2,100.0,208,61.4,208
Brandon Chatman,162541,HB,NAVY,13,0,237,50.0,85.7,156,46.0,182,47.0,1,87.8,339,386,50.3,83.1,59,17.4,71
Hudson Clement,173172,WR,W VIRGINIA,12,0,343,58.7,100.0,160,47.3,160,47.7,0,100.0,338,338,62.6,100.0,150,44.4,150
Anthony Carter Jr.,122856,G,NC STATE,13,0,248,58.9,100.0,82,24.3,82,67.9,1,100.0,338,338,74.8,100.0,230,68.0,230
Francis Mauigoa,170088,T,MIAMI FL,13,0,220,63.1,100.0,227,67.2,227,68.1,0,100.0,338,338,71.5,100.0,96,28.4,96
Terry Lockett Jr.,129625,WR,E MICHIGAN,12,0,160,60.7,99.1,115,34.0,116,52.3,1,99.4,338,340,60.9,100.0,204,60.4,204
Luke Altmyer,146802,QB,ILLINOIS,13,0,187,60.0,95.9,141,41.7,147,60.1,0,89.2,338,379,60.1,94.3,181,53.6,192
Jaylen Garth,123115,T,UTSA,13,0,331,68.6,100.0,131,38.8,131,64.8,0,100.0,338,338,61.2,100.0,171,50.6,171
Zach Carpenter,101539,C,MIAMI FL,13,0,220,60.5,100.0,226,67.1,226,60.8,0,100.0,337,337,56.3,100.0,96,28.5,96
Anthony Torres,77939,TE,TOLEDO,13,0,316,51.1,100.0,179,53.1,179,50.5,0,100.0,337,337,56.3,100.0,133,39.5,133
Carver Willis,122626,T,KANSAS ST,11,0,199,60.3,100.0,193,57.3,193,68.0,0,100.0,337,337,74.9,100.0,131,38.9,131
Kole Taylor,124114,TE,W VIRGINIA,13,0,343,67.4,100.0,159,47.2,159,63.9,1,100.0,337,337,72.7,100.0,141,41.8,141
Ivan Escobar,147467,C,UTEP,11,0,330,56.7,100.0,133,39.5,133,55.9,0,100.0,337,337,59.5,100.0,184,54.6,184
Thomas Shrader,122417,T,APP STATE,11,0,108,61.5,100.0,56,16.6,56,65.7,2,100.0,337,337,67.0,100.0,264,78.3,264
Drew Azzopardi,158777,T,WASHINGTON,13,0,340,43.7,100.0,80,23.7,80,51.9,1,100.0,337,337,58.1,100.0,242,71.8,242
Ryan Davis,97321,WR,NEW MEXICO,12,0,241,71.2,100.0,202,59.9,202,65.5,1,100.0,337,337,68.4,100.0,132,39.2,132
Sawyer Robertson,146839,QB,BAYLOR,12,0,118,60.1,98.0,145,43.2,148,60.1,0,92.3,336,364,60.0,94.1,190,56.5,202
Toby Payne,156805,TE,MARSHALL,13,0,214,52.4,100.0,110,32.7,110,68.3,2,99.7,336,337,71.3,100.0,192,57.1,192
Devonte Ross,146735,WR,TROY,12,0,318,59.3,98.7,152,45.2,154,56.0,0,97.7,336,344,65.7,100.0,168,50.0,168
Cole Motes,128393,T,UTAH ST,11,0,329,55.9,100.0,213,63.4,213,53.1,4,100.0,336,336,52.6,100.0,110,32.7,110
J.J. Jones,143965,WR,N CAROLINA,13,0,245,61.2,100.0,122,36.4,122,60.5,2,100.0,335,335,65.1,100.0,187,55.8,187
Zeke Correll,53431,C,NC STATE,13,0,248,62.2,100.0,83,24.8,83,70.0,0,100.0,335,335,69.5,100.0,229,68.4,229
Falepule Alo,128376,C,UTAH ST,11,0,329,68.1,100.0,214,63.9,214,66.1,1,100.0,335,335,65.4,100.0,105,31.3,105
