Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
184,RB,Kaelon Black,Indiana,83.7,,,,
185,LB,Harold Perkins Jr.,LSU,62.4,,,,
186,IOL,Pat Coogan,Indiana,78.0,,,,
187,EDGE,Caden Curry,Ohio State,90.6,,,,
188,TE,Miles Kitselman,Tennessee,64.7,,,,
189,LB,Owen Heinecke,Oklahoma,76.1,,,,
190,OT,Nolan Rucci,Penn State,75.4,,,,
191,TE,John Michael Gyllenborg,Wyoming,54.1,,,,
192,IOL,Kobe Baynes,Kansas,74.3,,,,
193,IOL,Jaeden Roberts,Alabama,69.5,,,,
194,WR,Tyren Montgomery,John Carroll,92.6,,,,
195,TE,Tanner Koziol,Houston,78.9,,,,
196,CB,Tacario Davis,Washington,67.2,,,,
197,DT,Zane Durant,Penn State,63.9,,,,
198,S,Cole Wisniewski,Texas Tech,83.9,,,,
199,WR,Chase Roberts,BYU,74.5,,,,
200,S,Bishop Fitzgerald,USC,90.7,,,,
201,DT,Cole Brevard,Texas,72.6,,,,
202,S,VJ Payne,Kansas State,73.3,,,,
203,LB,Red Murdock,Buffalo,91.2,,,,
204,TE,Dae'Quan Wright,Mississippi,66.4,,,,
205,EDGE,George Gumbs Jr.,Florida,66.0,,,,
206,WR,Zavion Thomas,LSU,66.2,,,,
207,TE,Oscar Delp,Georgia,63.2,,,,
208,RB,Eli Heidenreich,Navy,92.9,,,,
209,WR,Kendrick Law,Kentucky,71.6,,,,
210,RB,Desmond Reid,Pittsburgh,80.1,,,,
211,S,Isaiah Nwokobia,SMU,67.4,,,,
212,CB,TJ Hall,Iowa,78.3,,,,
213,DT,Zxavian Harris,Mississippi,73.3,,,,
214,S,Robert Spears-Jennings,Oklahoma,58.9,,,,
215,CB,Jadon Canady,Oregon,85.5,,,,
216,WR,Dane Key,Nebraska,65.9,,,,
217,CB,Andre Fuller,Toledo,82.6,,,,
218,IOL,Parker Brailsford,Alabama,65.6,,,,
219,CB,Domani Jackson,Alabama,73.4,,,,
220,RB,Robert Henry Jr.,UTSA,74.2,,,,
221,WR,Colbie Young,Georgia,76.3,,,,
222,EDGE,TJ Guy,Michigan,64.3,,,,
223,RB,Roman Hemby,Indiana,80.9,,,,
224,WR,Noah Thomas,Georgia,57.9,,,,
225,TE,Max Bredeson,Michigan,76.2,,,,
226,WR,J. Michael Sturdivant,Florida,62.7,,,,
227,WR,Kaden Wetjen,Iowa,64.9,,,,
228,RB,Terion Stewart,Virginia Tech,73.9,,,,
229,QB,Jalon Daniels,Kansas,77.1,,,,
230,CB,DJ Harvey,USC,55.3,,,,
231,EDGE,Vincent Anthony Jr.,Duke,58.2,,,,
232,TE,Lake McRee,USC,69.0,,,,
233,QB,Taylen Green,Arkansas,82.5,,,,
234,QB,Cole Payton,North Dakota State,95.9,,,,
235,CB,DeVonta Smith,Notre Dame,72.4,,,,
236,LB,Eric Gentry,USC,72.0,,,,
237,RB,Rahsul Faison,South Carolina,68.8,,,,
238,S,Lorenzo Styles Jr.,Ohio State,66.0,,,,
239,WR,Josh Cameron,Baylor,72.4,,,,
240,CB,Ceyair Wright,Nebraska,66.6,,,,
241,DT,James Thompson Jr.,Illinois,76.5,,,,
242,OT,Fa'alili Fa'amoe,Wake Forest,67.7,,,,
243,QB,Luke Altmyer,Illinois,78.0,,,,
244,WR,Vinny Anthony II,Wisconsin,67.7,,,,
245,DT,Deven Eastern,Minnesota,67.3,,,,
246,QB,Sawyer Robertson,Baylor,70.3,,,,
247,WR,Lewis Bond,Boston College,74.5,,,,
248,QB,Haynes King,Georgia Tech,85.9,,,,
249,QB,Joey Aguilar,Tennessee,90.5,,,,
250,IOL,Ethan Onianwa,Ohio State,58.2,,,,
