Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"313","ED","Tre Smith","Arizona Wildcats","79.0","0.013","","","Not Scored"
"314","QB","Mark Gronowski","Iowa Hawkeyes","83.3","0.310","","","Not Scored"
"315","QB","Walker Eget","San Jose State Spartans","67.5","-0.088","","","Not Scored"
"316","WR","Donavon Greene","Virginia Tech Hokies","58.9","-0.032","","","Not Scored"
"317","G","Izavion Miller","Auburn Tigers","63.7","0.001","","","Not Scored"
"318","WR","Anthony Smith","East Carolina Pirates","72.4","0.111","","","Not Scored"
"319","G","Dillon Wade","Auburn Tigers","59.6","0.025","","","Not Scored"
"320","DI","Damonic Williams","Oklahoma Sooners","56.1","-0.062","","","Not Scored"
"321","ED","Keyron Crawford","Auburn Tigers","76.3","0.077","","","Not Scored"
"322","LB","Wesley Bissainthe","Miami (FL) Hurricanes","64.7","0.117","","","Not Scored"
"323","CB","DaShawn Jones","Alabama Crimson Tide","64.1","0.035","","","Not Scored"
"324","S","Ahmaad Moses","SMU Mustangs","69.8","-0.038","","","Not Scored"
"325","HB","Al-Jay Henderson","Buffalo Bulls","66.8","-0.235","","","Not Scored"
