player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Kam Robinson,175441,LB,VIRGINIA,11,239,0,335,1,0.0,57.1,76.3,21.0,12.0,0,0,0.0,63.3,0,32,0.0,0,0,138.1,4,87,36.4,114,4,4,7,1,82,83,1.0,20.5,0,5,3.1,90.5,89.1,6.5,5.9,0,0,0.0,54.7,1,20,26.1,6,0,75.6,19,131,54.8,147,4,12,21,0,145,96,1.2,7.6
Dre Walker,175444,CB,VIRGINIA,4,34,0,335,0,15.0,66.7,100.0,7.0,4.7,0,0,0.0,47.3,0,19,33.3,1,0,109.7,2,15,44.1,15,0,2,3,0,38,18,2.7,19.0,0,0,10.0,66.7,100.0,6.5,4.3,0,0,0.0,52.9,0,31,25.0,1,0,109.7,2,14,41.2,14,0,3,3,0,39,8,3.0,19.5
Brandon Lewis,175466,CB,MICH STATE,1,5,0,223,0,32.0,0.0,100.0,,3.0,0,0,0.0,62.2,0,,,0,0,39.6,0,3,60.0,3,0,0,1,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Eddie Pleasant III,175468,CB,BUFFALO,9,124,0,126,0,12.4,0.0,100.0,,3.2,0,2,40.0,70.1,0,,,0,2,39.6,0,18,14.5,18,0,0,5,0,0,0,0.0,,0,2,14.9,57.1,100.0,9.3,5.3,0,2,14.3,64.7,0,65,9.1,1,1,131.8,8,80,64.5,80,2,8,14,2,143,101,1.9,17.9
Jalen Thompson,175471,ED,MICH STATE,12,3,0,223,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,44,0,0,0,0,0,0,,,0,1,,,1.0,,,0,0,,62.7,0,,0.0,0,0,0.0,0,1,33.3,105,0,0,0,0,0,0,0.0,
Jacob Bower,175477,LB,NEBRASKA,2,6,0,238,0,,,66.7,,,0,0,,61.3,0,,,0,0,0.0,0,2,33.3,3,0,0,0,0,0,0,0.0,,0,0,10.0,100.0,75.0,3.0,3.0,0,0,0.0,49.6,0,14,,0,0,118.8,1,3,50.0,4,0,0,1,0,14,4,4.7,14.0
Noah Bustard,175479,CB,NEBRASKA,1,3,0,238,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,0.0,100.0,100.0,3.0,3.0,0,0,0.0,73.1,0,3,0.0,0,0,79.2,1,3,100.0,3,1,2,1,0,3,3,1.0,3.0
Kai Wallin,175486,ED,NEBRASKA,11,3,0,238,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,11,0,0,0,0,0,0,,,0,0,12.0,100.0,7.1,3.0,3.0,0,0,0.0,48.8,0,16,100.0,1,0,118.8,1,3,100.0,42,0,0,1,0,16,4,5.3,16.0
Sage Clawges,175503,CB,RUTGERS,3,7,0,278,0,,,100.0,,,0,0,,61.9,0,,,0,0,0.0,0,2,28.6,2,0,0,0,0,0,0,0.0,,0,0,7.0,100.0,100.0,5.0,5.0,0,0,0.0,55.6,0,13,0.0,0,0,118.8,1,5,71.4,5,0,1,1,0,13,6,2.6,13.0
Christian Alliegro,175520,LB,WISCONSIN,12,151,0,349,1,5.3,100.0,79.5,15.5,15.5,0,0,0.0,51.3,0,27,25.0,1,0,149.0,4,66,43.7,83,3,2,4,1,41,24,0.7,10.3,0,1,4.4,81.3,90.0,5.5,4.5,1,0,0.0,45.4,0,25,12.5,2,0,96.9,13,72,47.7,80,4,13,16,0,116,79,1.6,8.9
Nyzier Fourqurean,175525,CB,WISCONSIN,12,314,0,349,0,11.4,68.2,99.3,8.5,5.8,0,3,13.6,71.9,0,32,6.3,1,2,104.2,15,136,43.3,137,9,15,22,1,159,13,1.3,10.6,0,1,10.1,73.7,97.5,10.9,8.0,1,1,5.3,63.1,0,21,11.1,2,1,94.0,14,157,50.0,161,5,15,19,0,139,39,0.9,9.9
Amare Snowden,175531,CB,WISCONSIN,1,1,0,349,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Justin Taylor,175532,CB,WISCONSIN,1,1,0,349,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Mister Clark,175545,CB,FIU,7,13,0,166,0,12.0,0.0,100.0,,2.0,0,0,0.0,51.9,0,,,0,0,39.6,0,2,15.4,2,0,0,1,0,0,0,0.0,,0,0,14.0,0.0,100.0,,10.0,0,0,0.0,69.9,0,,,0,0,39.6,0,10,76.9,10,0,0,1,0,0,0,0.0,
