player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jacquez Warren,130534,S,ROB MORRIS,11,106,17.7,9.6,277,0,67.2,6,11,0,52,19,0.49
Kam Snell,188588,S,TOWSON,12,88,17.6,9.8,317,0,69.2,5,9,0,45,42,0.51
Jalen Frazier,99739,S,W GEORGIA,7,35,17.5,8.8,1177,0,109.4,2,4,1,25,3,0.71
Sam Martin,156180,S,WAGNER,11,35,17.5,17.5,338,0,118.8,2,2,0,25,18,0.71
Stemarion Edwards,178483,LB,ALCORN ST,9,35,17.5,8.8,107,0,61.5,2,4,0,17,17,0.49
Jonathan Jean,168457,S,RICE,7,35,17.5,8.8,275,0,135.4,2,4,1,54,12,1.54
Dillion Williams,145331,S,UTEP,8,35,17.5,8.8,330,0,59.4,2,4,0,15,-1,0.43
Malik Chavis,98870,S,UNLV,7,52,17.3,10.4,325,0,77.1,3,5,0,30,15,0.58
Bray Hubbard,175863,S,ALABAMA,11,69,17.3,7.7,103,1,12.0,4,9,0,11,7,0.16
Miles Richardson,105069,S,GARD-WEBB,12,104,17.3,10.4,171,0,118.8,6,10,1,80,36,0.77
Andre DePina-Gray,164649,S,RHODE ISLD,9,17,17.0,17.0,274,0,118.8,1,1,0,13,0,0.76
Michael Harkins,170715,S,N ARIZONA,5,17,17.0,5.7,252,0,42.4,1,3,0,1,4,0.06
Taurus Jones,102148,LB,JAMES MAD,7,17,17.0,17.0,197,0,118.8,1,1,0,18,0,1.06
OJ Frederique Jr.,189439,CB,MIAMI FL,8,17,17.0,5.7,220,0,81.9,1,3,1,5,10,0.29
Ty French,132408,ED,W VIRGINIA,12,34,17.0,11.3,343,0,95.1,2,3,0,27,11,0.79
Quinn Schulte,101737,S,IOWA,8,17,17.0,5.7,192,0,45.1,1,3,0,11,7,0.65
Kaden White,155771,S,TOWSON,8,34,17.0,5.7,317,0,62.5,2,6,0,47,7,1.38
Mike Jenkins,178344,S,E TENN ST,6,17,17.0,4.3,157,0,40.6,1,4,0,13,2,0.76
