player_name,school,position,season,years_played,years_played_seasons,years_played_source,qb_qbr,qb_epa_per_play,qb_success_rate,qb_pressure_to_sack_rate,qb_under_pressure_epa,qb_under_pressure_success_rate,yprr,target_share,targets_per_route_run,explosive_run_rate,missed_tackles_forced_per_touch,pressure_rate,pressures_per_pass_rush_snap,sacks_per_pass_rush_snap,coverage_plays_per_target,yards_allowed_per_coverage_snap,opp_def_ppa_allowed_avg,opp_def_success_rate_allowed_avg,opp_def_toughness_index,opp_def_adjustment_multiplier,opp_def_context_source,cfb_prod_quality_label,cfb_prod_reliability,cfb_prod_real_features,cfb_prod_proxy_features,cfb_prod_provenance,source
Keldric Faulk,Auburn,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2252,0.2252,0.0563,,,0.136,0.3986,0.6758,1.0352,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Keyron Crawford,Auburn,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2432,0.2432,0.075,,,0.136,0.3986,0.6758,1.0352,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Logan Fano,Utah,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2218,0.2218,0.075,,,0.1361,0.4081,0.5948,1.019,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Malachi Lawrence,UCF,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2342,0.2342,0.075,,,0.1404,0.4064,0.5932,1.0186,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Nadame Tucker,Western Michigan,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.25,0.25,0.075,,,0.145,0.4214,0.4094,0.9819,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Patrick Payton,LSU,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.1855,0.1855,0.0618,,,0.1098,0.3855,0.8437,1.0687,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Tj Guy,Michigan,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.1957,0.1957,0.075,,,0.1239,0.4147,0.59,1.018,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Tj Parker,Clemson,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2389,0.2389,0.075,,,0.1439,0.412,0.5046,1.0009,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Tj Searcy,Texas A&M,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.1885,0.1885,0.075,,,0.1206,0.401,0.7225,1.0445,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Tyreak Sapp,Florida,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.1855,0.1855,0.0618,,,0.1168,0.3953,0.7659,1.0532,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
