player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Kaonohi Kaniho,128134,S,BOISE ST,6,0,7.0,0,0,120,39.8,38.5,78.6,60.0,43.6,57.9,50.0,1,0,27,28,0.0,0,1
Andy Nwaoko,128136,ED,MIDDLE TN,9,0,2.8,0,0,224,60.0,45.6,82.4,53.5,41.8,36.4,33.3,2,0,53,54,3.8,2,4
Cam Bariteau,128145,DI,COLO STATE,12,8,2.8,0,1,144,61.3,79.3,84.7,63.0,85.2,73.4,3.6,1,0,220,226,6.4,14,19
Henry Blackburn,128146,S,COLO STATE,13,13,9.9,0,1,144,68.7,72.2,90.1,73.8,72.6,58.1,12.5,6,0,384,395,2.1,8,29
James Mitchell,128160,DI,COLO STATE,13,7,1.7,1,0,144,60.0,55.8,25.9,53.4,61.2,67.1,6.5,2,4,281,288,5.0,14,22
Chase Wilson,128170,LB,COLO STATE,13,24,4.0,0,1,144,72.3,69.2,32.8,71.1,63.0,64.6,13.6,9,2,335,344,7.5,25,33
Kosi Agina,128171,S,FRESNO ST,13,10,5.1,0,0,169,63.2,68.9,85.5,57.0,79.3,79.1,7.1,2,0,168,174,4.8,8,16
Tyler Mello,128186,ED,FRESNO ST,8,3,5.0,0,0,169,65.4,66.6,80.4,60.4,65.3,82.6,0.0,0,0,51,52,3.9,2,5
Ezra Evaimalo,128195,DI,HAWAII,8,2,0.5,0,0,180,60.0,70.1,17.7,61.3,79.0,56.4,6.3,1,2,98,103,12.2,12,13
Cam Lockridge,128202,CB,FRESNO ST,9,4,6.0,0,0,169,76.7,74.6,0.0,51.9,75.1,74.7,8.3,1,6,207,215,1.9,4,7
Devin Gunter,128231,CB,NEVADA,2,0,,0,0,239,61.0,61.6,71.3,,60.4,78.8,,0,0,4,5,0.0,0,0
Tongiaki Mateialona,128238,LB,NEVADA,9,12,2.0,0,0,239,55.6,51.9,46.5,69.6,46.5,38.0,32.7,18,1,241,248,8.3,20,25
Teivis Tuioti,128247,DI,S DIEGO ST,11,3,1.7,0,0,284,,55.9,84.1,56.0,55.1,65.8,0.0,0,0,188,194,2.7,5,7
Adam Weynand,128248,LB,NEVADA,1,0,5.0,0,0,239,,67.8,69.1,,66.3,73.2,0.0,0,0,5,5,0.0,0,1
Thomas Witte,128249,DI,NEVADA,13,9,2.6,1,0,239,60.0,57.5,53.2,55.7,59.6,48.7,12.9,4,2,314,325,4.5,14,18
Tavian Combs,128258,LB,NEW MEXICO,1,0,,0,0,241,60.3,60.1,73.1,59.5,60.0,,,0,0,2,2,0.0,0,0
Kyler Drake,128260,DI,NEW MEXICO,8,3,2.0,1,0,241,56.4,61.1,54.7,60.7,63.4,69.8,0.0,0,1,159,162,6.9,11,12
