pff_rank,pff_player,pff_position,pff_school,match_type,board_player,board_position,board_school,board_rank_seed,board_final_rank,board_grade,pff_grade
245,Deven Eastern,DI,Minnesota,name_only,Deven Eastern,DT,Minnesota Golden Gophers,216,,69.5,67.3
246,Sawyer Robertson,QB,Baylor,exact,Sawyer Robertson,QB,Baylor Bears,218,,69.29,70.3
251,Diego Pavia,QB,Vanderbilt,name_pos,Diego Pavia,QB,Vanderbilt Commodores,233,,71.86,92.2
253,Xavian Sorey Jr.,LB,Arkansas,exact,Xavian Sorey Jr.,LB,Arkansas Razorbacks,226,,69.74,50.3
255,Joshua Braun,G,Kentucky,exact,Joshua Braun,IOL,Kentucky Wildcats,229,,69.97,62.5
257,Patrick Payton,ED,LSU,name_only,Patrick Payton,EDGE,LSU,92,,72.88,69.0
264,Logan Fano,ED,Utah,name_only,Logan Fano,EDGE,Utah Utes,238,,72.69,78.7
265,Riley Nowakowski,TE,Indiana,exact,Riley Nowakowski,TE,Indiana Hoosiers,239,,69.9,79.6
267,Micah Morris,G,Georgia,exact,Micah Morris,IOL,Georgia Bulldogs,241,,70.85,72.0
268,Lander Barton,LB,Utah,exact,Lander Barton,LB,Utah Utes,242,,74.78,61.7
271,Dillon Bell,WR,Georgia,exact,Dillon Bell,WR,Georgia Bulldogs,246,,66.41,57.7
273,Jaren Kanak,TE,Oklahoma,name_pos,Jaren Kanak,TE,Oklahoma Sooners,248,,66.47,64.1
274,Mason Reiger,ED,Wisconsin,name_only,Mason Reiger,EDGE,Wisconsin Badgers,249,,73.2,82.4
277,Joe Fagnano,QB,Connecticut,exact,Joe Fagnano,QB,Connecticut Huskies,251,,69.02,87.0
283,Jam Miller,HB,Alabama,exact,Jam Miller,RB,Alabama Crimson Tide,256,,72.24,66.2
287,RJ Maryland,TE,SMU,exact,RJ Maryland,TE,SMU,295,,69.91,62.4
288,Jackie Marshall,DI,Baylor,name_only,Jackie Marshall,EDGE,Baylor Bears,299,,62.33,55.7
290,Damonic Williams,DI,Oklahoma,name_only,Damonic Williams,DT,Oklahoma Sooners,300,,74.13,56.1
293,Xavier Nwankpa,S,Iowa,exact,Xavier Nwankpa,S,Iowa,95,,77.07,71.0
296,Noah Whittington,HB,Oregon,exact,Noah Whittington,RB,Oregon Ducks,267,,71.95,83.6
300,Brandon Cleveland,DI,North Carolina State,name_only,Brandon Cleveland,DT,North Carolina State Wolfpack,270,,67.71,72.1
303,Behren Morton,QB,Texas Tech,name_pos,Behren Morton,QB,Texas Tech Red Raiders,272,,69.17,72.0
306,Gary Smith III,DI,UCLA,name_only,Gary Smith III,DT,UCLA Bruins,276,,66.6,75.4
308,Jordan Hudson,WR,SMU,exact,Jordan Hudson,WR,SMU,134,,75.02,72.6
310,Harrison Wallace III,WR,Mississippi,exact,Harrison Wallace III,WR,Mississippi Rebels,281,,64.06,73.1
312,Nick Barrett,DI,South Carolina,name_only,Nick Barrett,DT,South Carolina,105,,77.44,76.2
314,Fernando Carmona,G,Arkansas,exact,Fernando Carmona,IOL,Arkansas Razorbacks,283,,68.34,71.2
315,Cameron Ball,DI,Arkansas,name_only,Cameron Ball,DT,Arkansas Razorbacks,284,,68.43,70.6
317,Adam Randall,HB,Clemson,exact,Adam Randall,RB,Clemson Tigers,285,,67.71,72.5
318,Scooby Williams,LB,Texas A&M,exact,Scooby Williams,LB,Texas A&M Aggies,286,,71.03,78.9
320,CJ Donaldson,HB,Ohio State,exact,CJ Donaldson,RB,Ohio State Buckeyes,288,,67.58,73.2
325,Jack Pyburn,ED,LSU,name_only,Jack Pyburn,EDGE,LSU Tigers,292,,69.29,72.9
326,Keagen Trost,T,Missouri,exact,Keagen Trost,OT,Missouri,102,,77.77,92.0
328,Jalen Huskey,S,Maryland,name_pos,Jalen Huskey,S,Maryland Terrapins,294,,71.35,83.6
329,Caullin Lacy,WR,Louisville,exact,Caullin Lacy,WR,Louisville Cardinals,294,,63.63,66.7
331,Emmanuel Henderson Jr.,WR,Kansas,exact,Emmanuel Henderson Jr.,WR,Kansas,179,,73.33,70.9
