model_rank,player_name,position,school,final_grade,round_value,consensus_rank,formula_score,pick_score,best_team_fit
173,David Gusta,DT,Kentucky,74.11,Round 5-6,240,74.78,,HOU
174,Jermayne Lole,DT,Louisville,79.02,Round 4-5,69,78.61,,HOU
175,Joe Royer,TE,Cincinnati Bearcats,72.83,Round 5-6,268,75.13,,LAC
176,Albert Regis,DT,Texas A&M Aggies,76.25,Round 4-5,175,79.04,,HOU
177,Anto Saka,EDGE,Northwestern,73.84,Round 5-6,246,74.25,,ATL
178,Michael Taaffe,S,Texas Longhorns,78.57,Round 4-5,77,79.65,,MIA
179,Xavier Chaplin,OT,Auburn,78.1,Round 4-5,96,78.84,,LAR
180,Chase Bisontis,IOL,Texas A&M,80.02,Round 3-4,49,81.87,,DET
181,Ethan Burke,EDGE,Texas,73.3,Round 5-6,259,74.77,,ATL
182,Bryce Foster,IOL,Kansas,63.86,UDFA,439,76.17,,DET
183,Jaeden Roberts,IOL,Alabama,72.69,Round 5-6,272,79.05,,DET
184,Ar'maj Reed-Adams,IOL,Texas A&M,76.09,Round 4-5,184,79.92,,DET
185,Julian Neal,CB,Arkansas Razorbacks,75.15,Round 5-6,210,76.19,,JAX
186,DJ Campbell,IOL,Texas Longhorns,74.77,Round 5-6,221,78.91,,DET
187,Tanner Miller,IOL,Michigan,74.48,Round 5-6,228,75.44,,DET
188,Thaddeus Dixon,CB,North Carolina Tar Heels,76.17,Round 4-5,178,79.62,,JAX
189,Parker Brailsford,IOL,Alabama,72.33,Round 5-6,279,76.53,,DET
190,Jake Slaughter,IOL,Florida,78.4,Round 4-5,84,80.61,,DET
191,Eric McAlister,WR,TCU Horned Frogs,76.06,Round 4-5,185,80.05,,CLE
192,Jude Bowry,OT,Boston College Eagles,74.37,Round 5-6,234,77.07,,LAR
193,Beau Stephens,IOL,Iowa Hawkeyes,75.13,Round 5-6,212,77.31,,DET
194,Jalen McMurray,S,Tennessee,71.79,Round 6-7,293,72.6,,MIA
195,Aiden Fisher,LB,Indiana Hoosiers,76.63,Round 4-5,160,79.28,,LAR
196,Terrance Carter Jr.,TE,Texas Tech,73.78,Round 5-6,249,74.63,,LAC
197,Tim Keenan III,DT,Alabama Crimson Tide,73.75,Round 5-6,250,74.78,,HOU
198,Eric Rivers,WR,Georgia Tech Yellow Jackets,72.06,Round 5-6,287,77.06,,CLE
199,Addison Nichols,IOL,Arkansas,77.19,Round 4-5,135,78.15,,DET
200,Jamel Johnson,S,TCU,75.14,Round 5-6,211,75.31,,MIA
201,Keylan Rutledge,IOL,Georgia Tech Yellow Jackets,74.43,Round 5-6,231,76.83,,DET
202,Jordan Hudson,WR,SMU,70.78,Round 6-7,314,72.58,,CLE
203,Jalen Stroman,S,Notre Dame Fighting Irish,73.22,Round 5-6,261,79.22,,MIA
204,Timothy McKay,IOL,NC State,77.08,Round 4-5,141,78.04,,DET
205,Bryce Lovett,IOL,NC State,77.17,Round 4-5,136,78.13,,DET
206,Jager Burton,IOL,Kentucky Wildcats,76.01,Round 4-5,187,80.12,,DET
207,Hero Kanu,DT,Texas,75.5,Round 5-6,203,75.56,,HOU
208,Suntarine Perkins,LB,Ole Miss,75.37,Round 5-6,205,75.2,,LAR
209,Trey Moore,LB,Texas Longhorns,71.66,Round 6-7,295,77.75,,LAR
210,Mike Washington Jr.,RB,Arkansas Razorbacks,76.78,Round 4-5,153,78.53,,DAL
211,Jaishawn Barham,LB,Michigan,76.14,Round 4-5,182,76.43,,LAR
212,Kage Casey,OT,Boise State,72.0,Round 5-6,288,75.3,,LAR
213,Hezekiah Masses,CB,California Golden Bears,69.43,Round 6-7,348,73.09,,JAX
